"Book_Name","Book_Published_Date","Book_Author","Book_Image","Book_Stock_availability","Book_Price","Book_Publisher","Book_Language","Book_Dimensions","Book_Catagory","Book_Second_Author"
"Rat Queens Volume 1: Sass & Sorcery","Apr 8, 2014","Kurtis J. Wiebe and","https://images-na.ssl-images-amazon.com/images/I/51uvBJX0sPL._AC_US218_.jpg","In Stock.","$6.16","Image Comics (April 8, 2014)","English","6.4 x 0.4 x 10 inches","Contemporary Women","Laura Tavishati"
"Ringworld: A Novel","Sep 12, 1985","Larry Niven","https://images-na.ssl-images-amazon.com/images/I/51KCGqs3keL._AC_US218_.jpg","In Stock.","$6.47","Del Rey; later printing edition (September 12, 1985)","English","4.1 x 0.9 x 6.9 inches","Exploration",""
"Yucatán: Recipes from a Culinary Expedition (William and Bettye Nowlin Series in Art, History, and Cultur)","Mar 30, 2014","David Sterling","https://images-na.ssl-images-amazon.com/images/I/61DPE4pV+zL._AC_US218_.jpg","In Stock.","$41.30","University of Texas Press (March 30, 2014)","English","9.5 x 1.8 x 11 inches","Mexican",""
"Redeployment","Feb 24, 2015","Phil Klay","https://images-na.ssl-images-amazon.com/images/I/51lRLpmOe2L._AC_US218_.jpg","In Stock.","$7.94","Penguin Books; Reprint edition (February 24, 2015)","English","5.3 x 0.8 x 8 inches","Anthologies",""
"The Windup Girl","2009","Paolo Bacigalupi","https://images-na.ssl-images-amazon.com/images/I/51-VORSGT+L._AC_US218_.jpg","In Stock.","$9.33","Night Shade Books; 1st edition (2009)","English","6 x 1 x 9 inches","Genetic Engineering",""
"Ancillary Sword (Imperial Radch)","Oct 7, 2014","Ann Leckie","https://images-na.ssl-images-amazon.com/images/I/51gHPdnSAwL._AC_US218_.jpg","In Stock.","$7.99","Orbit; Reprint edition (October 7, 2014)","English","5.5 x 1.1 x 8.2 inches","Hard Science Fiction",""
"Moon Tiger","Sep 18, 1997","Penelope Lively","https://images-na.ssl-images-amazon.com/images/I/51UDyXPzRjL._AC_US218_.jpg","In Stock.","$8.02","Grove Press (September 18, 1997)","English","5.5 x 0.8 x 8.5 inches","Contemporary",""
"Allegiant","Oct 22, 2013","Veronica Roth","https://images-na.ssl-images-amazon.com/images/I/51AXNYr9hkL._AC_US218_.jpg","","$7.94","Katherine Tegen Books; 1ST edition (2013)","English","5.5 x 1.6 x 8.2 inches","Values & Virtues",""
"The Third Plate: Field Notes on the Future of Food","May 20, 2014","Dan Barber","https://images-na.ssl-images-amazon.com/images/I/61TVLFpyd7L._AC_US218_.jpg","In Stock.","$9.98","Penguin Press; 1st edition (May 20, 2014)","English","6.5 x 1.5 x 9.5 inches","History",""
"We Were Liars","May 13, 2014","E. Lockhart","https://images-na.ssl-images-amazon.com/images/I/51M1xoZqIpL._AC_US218_.jpg","In Stock.","$6.51","Delacorte Press; First Edition edition (May 13, 2014)","English","5.9 x 0.9 x 8.6 inches","Marriage & Divorce",""
"Green Mars (Mars Trilogy)","May 1, 1995","Kim Stanley Robinson","https://images-na.ssl-images-amazon.com/images/I/41XBBcHoLwL._AC_US218_.jpg","In Stock.","$1.38","Bantam Spectra (May 1, 1995)","English","4.1 x 1 x 6.8 inches","Colonization",""
"Divergent / Insurgent","May 1, 2012","Veronica Roth","https://images-na.ssl-images-amazon.com/images/I/51h4JPR8ZIL._AC_US218_.jpg","In Stock.","$7.75","Katherine Tegen Books; 1st edition (2012)","English","5.5 x 1.6 x 8.2 inches","Values & Virtues",""
"An Ember in the Ashes","Apr 28, 2015","Sabaa Tahir","https://images-na.ssl-images-amazon.com/images/I/61EcDBpH0PL._AC_US218_.jpg","In Stock.","$8.99","Razorbill; First Edition edition (April 28, 2015)","English","6.2 x 1.4 x 9.3 inches","Epic",""
"The Cinder Spires: The Aeronaut's Windlass","Jul 5, 2016","Jim Butcher","https://images-na.ssl-images-amazon.com/images/I/51ULjgyp01L._AC_US218_.jpg","In Stock.","$8.54","Roc; Reprint edition (July 5, 2016)","English","4.2 x 1.6 x 7.6 inches","Steampunk",""
"Seveneves: A Novel","May 19, 2015","Neal Stephenson","https://images-na.ssl-images-amazon.com/images/I/41eDo4vEQgL._AC_US218_.jpg","In Stock.","$11.60","William Morrow; First Edition edition (May 19, 2015)","English","6 x 1.7 x 9 inches","Genetic Engineering",""
"Life and Times of Michael K: A Novel","Jan 8, 1985","J. M. Coetzee","https://images-na.ssl-images-amazon.com/images/I/51IkRYkWFOL._AC_US218_.jpg","In Stock.","$10.99","Penguin Books; Reprint Used edition (January 8, 1985)","English","5 x 0.4 x 7.7 inches","Biographical",""
"True History of the Kelly Gang: A Novel","Dec 4, 2001","Peter Carey","https://images-na.ssl-images-amazon.com/images/I/51+6cHvNqdL._AC_US218_.jpg","In Stock.","$6.99","Vintage; Reprint edition (December 4, 2001)","English","5.1 x 0.8 x 8 inches","Historical",""
"Winter (Lunar)","Nov 10, 2015","Marissa Meyer","https://images-na.ssl-images-amazon.com/images/I/41SSIYbE2LL._AC_US218_.jpg","In Stock.","$11.33","Feiwel & Friends (November 10, 2015)","English","5.8 x 1.6 x 8.5 inches","Aliens",""
"The Light Between Oceans: A Novel","Jul 31, 2012","M. L. Stedman","https://images-na.ssl-images-amazon.com/images/I/51gxKjVrPkL._AC_US218_.jpg","In Stock.","$8.14","Scribner; 1st edition (July 31, 2012)","English","6 x 1.3 x 9 inches","Australia & Oceania",""
"Flavor Flours: A New Way to Bake with Teff, Buckwheat, Sorghum, Other Whole & Ancient Grains, Nuts & Non-Wheat Flours","Oct 28, 2014","Alice Medrich and","https://images-na.ssl-images-amazon.com/images/I/51d8OOVJ1DL._AC_US218_.jpg","","$23.93","Artisan; 1st Edition edition (October 28, 2014)","English","8 x 1.2 x 10.2 inches","Food Allergies","Leigh Beisch"
"The Help","Feb 10, 2009","Kathryn Stockett","https://images-na.ssl-images-amazon.com/images/I/51+D9LgM+gL._AC_US218_.jpg","","$7.05","G.P. Putnam's Sons (February 10, 2009)","English","6.3 x 1.4 x 9.6 inches","Literary",""
"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)","May 25, 2010","Stieg Larsson and","https://images-na.ssl-images-amazon.com/images/I/51wARxtg-HL._AC_US218_.jpg","","$8.15","Knopf (May 25, 2010)","English","6.6 x 1.7 x 9.6 inches","Contemporary","Reg Keeland"
"The Paris Wife: A Novel","Feb 22, 2011","Paula McLain","https://images-na.ssl-images-amazon.com/images/I/51UpT7L7+uL._AC_US218_.jpg","","$8.22","Ballantine Books; 1st edition (February 22, 2011)","English","6.6 x 0.9 x 9.5 inches","Calculus",""
"Prince Lestat","Oct 28, 2014","Anne Rice","https://images-na.ssl-images-amazon.com/images/I/41Ll8A2uGmL._AC_US218_.jpg","In Stock.","$8.06","Alfred A. Knopf; 1st edition (October 28, 2014)","English","6.5 x 1.4 x 9.5 inches","Vampires",""
"Blue Mars (Mars Trilogy)","Jun 2, 1997","Kim Stanley Robinson","https://images-na.ssl-images-amazon.com/images/I/41+ZU8dmNeL._AC_US218_.jpg","In Stock.","$8.09","Spectra (June 2, 1997)","English","4.2 x 1.3 x 6.9 inches","Colonization",""
"The Inheritance of Loss","Aug 29, 2006","Kiran Desai","https://images-na.ssl-images-amazon.com/images/I/51pTEREtSwL._AC_US218_.jpg","In Stock.","$8.48","Grove Press; First Trade Paper edition (August 29, 2006)","English","5.2 x 1 x 8 inches","Contemporary",""
"Ancillary Mercy (Imperial Radch)","Oct 6, 2015","Ann Leckie","https://images-na.ssl-images-amazon.com/images/I/51DF6IK63eL._AC_US218_.jpg","In Stock.","$10.87","Orbit; 1st edition (October 6, 2015)","English","5.5 x 1 x 8.2 inches","Hard Science Fiction",""
"A Spool of Blue Thread","Feb 10, 2015","Anne Tyler","https://images-na.ssl-images-amazon.com/images/I/51fE8qjEYqL._AC_US218_.jpg","","$7.99","Knopf; 1st Edition edition (2015)","English","6.7 x 1.2 x 9.6 inches","Family Saga",""
"In Her Kitchen: Stories and Recipes from Grandmas Around the World","Nov 11, 2014","Gabriele Galimberti","https://images-na.ssl-images-amazon.com/images/I/614wuzw7NvL._AC_US218_.jpg","In Stock.","$13.99","Clarkson Potter (November 11, 2014)","English","9.3 x 0.9 x 9.3 inches","Myanmar",""
"Foundation's Edge (Foundation Novels)","Oct 1, 1991","Isaac Asimov","https://images-na.ssl-images-amazon.com/images/I/511fYAsFRcL._AC_US218_.jpg","In Stock.","$7.00","Spectra; Reissue edition (November 1, 1991)","English","4.2 x 1 x 6.8 inches","Hard Science Fiction",""
"The Girl on the Train","Jan 13, 2015","Paula Hawkins","https://images-na.ssl-images-amazon.com/images/I/51KQwCQ326L._AC_US218_.jpg","In Stock.","$7.94","Riverhead Books (2015)","English","6.4 x 1.1 x 9.4 inches","Psychological Thrillers",""
"#GIRLBOSS","May 6, 2014","Sophia Amoruso","https://images-na.ssl-images-amazon.com/images/I/51ukvC3KOTL._AC_US218_.jpg","In Stock.","$8.30","Portfolio; 1st edition (May 6, 2014)","English","5.8 x 0.9 x 8.6 inches","eBay",""
"The Sea, the Sea (Penguin Twentieth Century Classics)","Mar 1, 2001","Iris Murdoch and","https://images-na.ssl-images-amazon.com/images/I/41y1PEbu6BL._AC_US218_.jpg","In Stock.","$9.29","Penguin Classics; 1 edition (March 1, 2001)","English","5.1 x 1.2 x 7.8 inches","Sea Stories","Mary Kinzie"
"Tina Fey: Bossypants","Apr 5, 2011","Tina Fey","https://images-na.ssl-images-amazon.com/images/I/41vpf7EY8AL._AC_US218_.jpg","In Stock.","$7.75","Little, Brown; 1st edition (April 5, 2011)","English","6.4 x 1.1 x 9.5 inches","Comedy",""
"To Say Nothing of the Dog","Dec 1, 1998","Connie Willis","https://images-na.ssl-images-amazon.com/images/I/51HlKLHGpnL._AC_US218_.jpg","In Stock.","$6.82","Bantam (December 1, 1998)","English","4.2 x 1.2 x 6.9 inches","Humorous",""
"The Famished Road","May 1, 1993","Ben Okri","https://images-na.ssl-images-amazon.com/images/I/51u0weQ+MHL._AC_US218_.jpg","In Stock.","$11.95","Anchor; Reprint edition (May 1, 1993)","English","5.2 x 0.8 x 8 inches","Cultural Heritage",""
"Beautiful Redemption: A Novel (The Maddox Brothers Series) (Volume 2)","Jan 27, 2015","Jamie McGuire","https://images-na.ssl-images-amazon.com/images/I/51JYi9QoqOL._AC_US218_.jpg","In Stock.","$10.56","CreateSpace Independent Publishing Platform (January 27, 2015)","English","5.5 x 0.7 x 8.5 inches","Contemporary",""
"The Twelve (Passage)","Oct 16, 2012","Justin Cronin","https://images-na.ssl-images-amazon.com/images/I/51bwmScnM-L._AC_US218_.jpg","","$8.63","Ballantine Books; 1st edition (October 16, 2012)","English","6.4 x 1.6 x 9.5 inches","Supernatural",""
"A Bird in the Hand: Chicken recipes for every day and every mood","Apr 7, 2015","Diana Henry","https://images-na.ssl-images-amazon.com/images/I/61cbOM2keTL._AC_US218_.jpg","In Stock.","$7.44","Mitchell Beazley (April 7, 2015)","English","7.8 x 1.2 x 10 inches","Poultry",""
"It's a Book","Aug 17, 2010","Lane Smith","https://images-na.ssl-images-amazon.com/images/I/41l7R9C8aBL._AC_US218_.jpg","In Stock.","$8.60","Roaring Brook Press; First Edition edition (August 10, 2010)","English","8.2 x 0.3 x 10.4 inches","Books & Libraries",""
"The Emperor's Soul (Hugo Award Winner - Best Novella)","Oct 10, 2012","Brandon Sanderson","https://images-na.ssl-images-amazon.com/images/I/51N3e+94ItL._AC_US218_.jpg","In Stock.","$10.98","Tachyon Publications; First Edition edition (October 10, 2012)","English","4.9 x 0.6 x 7.9 inches","Fantasy",""
"Doomsday Book","Aug 1, 1993","Connie Willis","https://images-na.ssl-images-amazon.com/images/I/51bUC2F5xdL._AC_US218_.jpg","In Stock.","$7.99","Spectra (August 1, 1993)","English","4.2 x 1.3 x 6.9 inches","Medieval",""
"Towers of Midnight (Wheel of Time, Book Thirteen)","Nov 2, 2010","Robert Jordan and","https://images-na.ssl-images-amazon.com/images/I/5185XHEzYOL._AC_US218_.jpg","","$8.15","Tor Books (November 2, 2010)","English","6.4 x 2.5 x 9.6 inches","Epic","Brandon Sanderson"
"My Father's Daughter: Delicious, Easy Recipes Celebrating Family & Togetherness","Apr 13, 2011","Gwyneth Paltrow and","https://images-na.ssl-images-amazon.com/images/I/51xjnkenXOL._AC_US218_.jpg","","$8.86","Grand Central Life & Style; 1st Edition edition (April 13, 2011)","English","8.8 x 1 x 10.5 inches","U.S. Regional","Mario Batali"
"Let's Pretend This Never Happened: (A Mostly True Memoir)","Apr 17, 2012","Jenny Lawson","https://images-na.ssl-images-amazon.com/images/I/41MTlXZSAvL._AC_US218_.jpg","","$9.91","Putnam Adult; First Edition edition (April 17, 2012)","English","6.3 x 1.1 x 9.3 inches","Essays",""
"The Girl Who Played with Fire (Millennium)","Jul 28, 2009","Stieg Larsson and","https://images-na.ssl-images-amazon.com/images/I/51XeQd1pwtL._AC_US218_.jpg","","$8.35","Alfred A. Knopf (July 28, 2009)","English","6.6 x 1.4 x 9.5 inches","Organized Crime","Reg Keeland"
"Yes Please","Oct 28, 2014","Amy Poehler","https://images-na.ssl-images-amazon.com/images/I/51ixvj+75jL._AC_US218_.jpg","","$8.80","Dey Street; 1st edition (October 28, 2014)","English","6 x 1.1 x 9 inches","Television Performers",""
"The Walking Dead: A Larger World, Vol. 16","Jun 19, 2012","Robert Kirkman and","https://images-na.ssl-images-amazon.com/images/I/61I46tUkcbL._AC_US218_.jpg","In Stock.","$7.25","Image Comics (June 19, 2012)","English","6.5 x 0.5 x 10 inches","Zombies","Charlie Adlard"
"Sex Criminals Volume 1: One Weird Trick","Apr 16, 2014","Matt Fraction and","https://images-na.ssl-images-amazon.com/images/I/41vXnuiqtPL._AC_US218_.jpg","In Stock.","$7.96","Image Comics (April 16, 2014)","English","6.3 x 0.2 x 9.9 inches","Image Comics","Chip Zdarsky"
"Firefight (The Reckoners)","Jan 6, 2015","Brandon Sanderson","https://images-na.ssl-images-amazon.com/images/I/61psPVMhjeL._AC_US218_.jpg","In Stock.","$12.96","Delacorte Press; 1st Edition edition (January 6, 2015)","English","6.6 x 1.2 x 9.4 inches","Superheroes",""
"The Kitchn Cookbook: Recipes, Kitchens & Tips to Inspire Your Cooking","Oct 7, 2014","Sara Kate Gillingham and","https://images-na.ssl-images-amazon.com/images/I/613QI7pTe+L._AC_US218_.jpg","In Stock.","$15.95","Clarkson Potter (October 7, 2014)","English","8.2 x 1.1 x 10.3 inches","Electrical","Faith Durand"
"The Gods Themselves","Sep 4, 1990","Isaac Asimov","https://images-na.ssl-images-amazon.com/images/I/51XFsyxJHwL._AC_US218_.jpg","In Stock.","$6.33","Spectra (September 4, 1990)","English","4.2 x 0.8 x 6.8 inches","Short Stories",""
"Inferno","May 14, 2013","Dan Brown","https://images-na.ssl-images-amazon.com/images/I/61k34d72ChL._AC_US218_.jpg","In Stock.","$8.69","Doubleday; First Edition edition (May 14, 2013)","English","6.4 x 1.6 x 9.5 inches","TV, Movie, Video Game Adaptations",""
"Ingredient: Unveiling the Essential Elements of Food","Sep 27, 2016","Ali Bouzari","https://images-na.ssl-images-amazon.com/images/I/51Buu+iaD-L._AC_US218_.jpg","In Stock.","$15.98","Ecco (September 27, 2016)","English","7.4 x 0.9 x 9.1 inches","Food Science",""
"The Goblin Emperor","Mar 3, 2015","Katherine Addison","https://images-na.ssl-images-amazon.com/images/I/51TQhUaboPL._AC_US218_.jpg","In Stock.","$2.09","Tor Fantasy (March 3, 2015)","English","4.3 x 1.2 x 7 inches","Coming of Age",""
"The Wrath & the Dawn (The Wrath and the Dawn)""the book is a Rough Cut Edition (pages are deliberately not the same length)""","May 12, 2015","Renée Ahdieh","https://images-na.ssl-images-amazon.com/images/I/51wB7lUvxzL._AC_US218_.jpg","In Stock.","$8.48","G.P. Putnam's Sons Books for Young Readers; First Edition edition (May 12, 2015)","English","5.8 x 1.2 x 8.5 inches","Ancient",""
"Smokin' Seventeen (Stephanie Plum)","Nov 15, 2011","Janet Evanovich","https://images-na.ssl-images-amazon.com/images/I/51AsP+Bx0nL._AC_US218_.jpg","In Stock.","$6.88","Bantam (November 15, 2011)","English","4.2 x 0.9 x 6.9 inches","Lawyers & Criminals",""
"Serenity: Leaves on the Wind","Nov 18, 2014","Joss Whedon","https://images-na.ssl-images-amazon.com/images/I/51DbT6S7ibL._AC_US218_.jpg","","","Dark Horse Books (November 18, 2014)","English","6.9 x 0.7 x 10.5 inches","Dark Horse",""
"Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy","Aug 23, 2016","Heather Ann Thompson","https://images-na.ssl-images-amazon.com/images/I/51EK74FJUyL._AC_US218_.jpg","","$11.19","Pantheon; First Edition, First Printing edition (August 23, 2016)","English","6.3 x 1.5 x 9.5 inches","Law Enforcement",""
"A Deepness in the Sky (Zones of Thought)","Jan 15, 2000","Vernor Vinge","https://images-na.ssl-images-amazon.com/images/I/51Uqv79ukvL._AC_US218_.jpg","In Stock.","$5.10","Tor Books; First edition (January 15, 2000)","English","4.1 x 1.3 x 6.7 inches","Hard Science Fiction",""
"Pretty Girls: A Novel","Sep 29, 2015","Karin Slaughter","https://images-na.ssl-images-amazon.com/images/I/51fFHmYFxKL._AC_US218_.jpg","In Stock.","$8.65","William Morrow; First Edition edition (September 29, 2015)","English","6 x 1.3 x 9 inches","Psychological Thrillers",""
"The Autistic Brain: Thinking Across the Spectrum","Apr 30, 2013","Temple Grandin and","https://images-na.ssl-images-amazon.com/images/I/51YgaFmdYiL._AC_US218_.jpg","","","Houghton Mifflin Harcourt; 1 edition (April 30, 2013)","English","6.2 x 1 x 9.2 inches","Neurology","Richard Panek"
"Lighten Up, Y'all: Classic Southern Recipes Made Healthy and Wholesome","Mar 3, 2015","Virginia Willis","https://images-na.ssl-images-amazon.com/images/I/51oxYUDjBDL._AC_US218_.jpg","In Stock.","$11.89","Ten Speed Press (March 3, 2015)","English","7.7 x 0.9 x 9.8 inches","Low Fat",""
"Twilight: The Graphic Novel, Volume 1 (The Twilight Saga)","Mar 16, 2010","Stephenie Meyer and","https://images-na.ssl-images-amazon.com/images/I/51psntOktWL._AC_US218_.jpg","","","","","","","Young Kim"