Book_Name,Book_Published_Date,First_Author,Book_Authors,Book_Image,Book_Price,Book_Publisher 1 1,Book_Dimensions,Book_Catagory
The Food Lab: Better Home Cooking Through Science,"Sep 21, 2015",J. Kenji López-Alt,J. Kenji López-Alt,https://images-na.ssl-images-amazon.com/images/I/41ufhLxL-TL._AC_US218_.jpg,$33.96,W. W. Norton & Company,10.8 x 8 x 1.8 inches,Potatoes
The Day the Crayons Quit,"Jun 27, 2013",Drew Daywalt,Drew Daywalt,https://images-na.ssl-images-amazon.com/images/I/51JNz57DqLL._AC_US218_.jpg,$11.33,Philomel Books,10.2 x 0.4 x 10.4 inches,Fiction
Hamilton: The Revolution,"Apr 12, 2016",Lin-Manuel Mira,Lin-Manuel Mira,https://images-na.ssl-images-amazon.com/images/I/41CCiE1aWuL._AC_US218_.jpg,$20.95,Grand Central Publishing,8.9 x 1.6 x 10.6 inches,Broadway & Musicals
Between the World and Me,"Jul 14, 2015",Ta-Nehisi Coates,Ta-Nehisi Coates,https://images-na.ssl-images-amazon.com/images/I/51ndtpPOGTL._AC_US218_.jpg,$13.59,Spiegel & Grau,5.1 x 0.8 x 7.5 inches,Discrimination & Racism
Evicted: Poverty and Profit in the American City,"Feb 28, 2017",Matthew Desmond,Matthew Desmond,https://images-na.ssl-images-amazon.com/images/I/41e6mYmQfYL._AC_US218_.jpg,$5.95,Broadway Books,5.2 x 1 x 8 inches,Urban
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","Nov 9, 2010",Jeff Kinney,Jeff Kinney,https://images-na.ssl-images-amazon.com/images/I/511JS7eYuOL._AC_US218_.jpg,$6.00,Harry N. Abrams,5.8 x 0.9 x 8.2 inches,Self-Help & Psychology
Tequila Mockingbird: Cocktails with a Literary Twist,"Apr 23, 2013",Tim Federle,Tim Federle; Lauren Mortimer,https://images-na.ssl-images-amazon.com/images/I/512KNlhm6aL._AC_US218_.jpg,$6.99,Running Press Adult ,5.2 x 0.8 x 7.4 inches,Spirits
All the Light We Cannot See,"May 6, 2014",Anthony Doerr,Anthony Doerr,https://images-na.ssl-images-amazon.com/images/I/51wG7x-S+0L._AC_US218_.jpg,$9.70,Scribner ,6 x 1.7 x 9 inches,Contemporary
"Dog Days (Diary of a Wimpy Kid, Book 4)","Oct 12, 2009",Jeff Kinney,Jeff Kinney,https://images-na.ssl-images-amazon.com/images/I/51C9zeyCMCL._AC_US218_.jpg,$7.69,Amulet Books,5.5 x 0.9 x 8 inches,Comics & Graphic Novels
Life of Pi,"May 1, 2003",Yann Martel,Yann Martel,https://images-na.ssl-images-amazon.com/images/I/51rxEvLljUL._AC_US218_.jpg,$7.36,Mariner Books ,8 x 5 x 0.9 inches,Sea Adventures
Deep Run Roots: Stories and Recipes from My Corner of the South,"Oct 4, 2016",Vivian Howard,Vivian Howard,https://images-na.ssl-images-amazon.com/images/I/61gjNJsvHSL._AC_US218_.jpg,$26.22,"Little, Brown and Company",8.4 x 2 x 10.2 inches,Southern
The Graveyard Book,"Sep 28, 2010",Neil Gaiman ,Neil Gaiman ; Dave McKean,https://images-na.ssl-images-amazon.com/images/I/51tAOAlaH7L._AC_US218_.jpg,$6.99,HarperCollins,5.1 x 1 x 7.6 inches,Ghosts
Make It Ahead: A Barefoot Contessa Cookbook,"Oct 28, 2014",Ina Garten,Ina Garten,https://images-na.ssl-images-amazon.com/images/I/51pbU9nqDgL._AC_US218_.jpg,$12.71,Clarkson Potter,7.7 x 0.8 x 10.3 inches,Thanksgiving
Harry Potter And The Goblet Of Fire (Book 4),"Jul 8, 2000",J.K. Rowling ,J.K. Rowling ; Mary GrandPré,https://images-na.ssl-images-amazon.com/images/I/51gy+g8Z+1L._AC_US218_.jpg,$7.48,Scholastic Press ,6.2 x 2.2 x 9.5 inches,Orphans & Foster Homes
The Sixth Extinction: An Unnatural History,"Jan 6, 2015",Elizabeth Kolbert,Elizabeth Kolbert,https://images-na.ssl-images-amazon.com/images/I/513qCLaP5sL._AC_US218_.jpg,$9.64,Picador,5.5 x 0.9 x 8.3 inches,Environmental Science
Eleanor & Park,"Feb 26, 2013",Rainbow Rowell,Rainbow Rowell,https://images-na.ssl-images-amazon.com/images/I/41yMNepSxpL._AC_US218_.jpg,$8.75,St. Martin's Griffin ,5.9 x 1.2 x 8.4 inches,Dating & Sex
The Pigeon Needs a Bath!,"Apr 1, 2014",Mo Willems,Mo Willems,https://images-na.ssl-images-amazon.com/images/I/51Cf6tNKCSL._AC_US218_.jpg,$10.48,Hyperion Books for Children,9.2 x 0.4 x 9.2 inches,Birds
Steve Jobs,"Oct 24, 2011",Walter Isaacson,Walter Isaacson,https://images-na.ssl-images-amazon.com/images/I/41dKkez-1rL._AC_US218_.jpg,$9.23,Simon & Schuster,6.1 x 1.9 x 9.2 inches,Computers & Technology
The Sympathizer: A Novel (Pulitzer Prize for Fiction),"Apr 12, 2016",Viet Thanh Nguyen,Viet Thanh Nguyen,https://images-na.ssl-images-amazon.com/images/I/518LdNuHDJL._AC_US218_.jpg,$9.99,Grove Press,5.4 x 1.2 x 8 inches,Asian American
Liquid Intelligence: The Art and Science of the Perfect Cocktail,"Nov 10, 2014",Dave Arnold,Dave Arnold,https://images-na.ssl-images-amazon.com/images/I/41CRyYdhrkL._AC_US218_.jpg,$25.29,W. W. Norton & Company,8.3 x 1.2 x 10.3 inches,Cocktails & Mixed Drinks
Zahav: A World of Israeli Cooking,"Oct 6, 2015",Michael Solomonov ,Michael Solomonov ; Steven Cook,https://images-na.ssl-images-amazon.com/images/I/61cm1q7oJ7L._AC_US218_.jpg,$19.99,Rux Martin/Houghton Mifflin Harcourt ,9 x 1.3 x 11 inches,Middle Eastern
The Fifth Season (The Broken Earth),"Aug 4, 2015",N. K. Jemisin,N. K. Jemisin,https://images-na.ssl-images-amazon.com/images/I/61XfS2XCw3L._AC_US218_.jpg,$10.87,Orbit,5.4 x 1.2 x 8.2 inches,Fantasy
The Pioneer Woman Cooks: Food from My Frontier,"Mar 13, 2012",Ree Drummond,Ree Drummond,https://images-na.ssl-images-amazon.com/images/I/61e-3+vIU-L._AC_US218_.jpg,$12.85,William Morrow Cookbooks,8 x 1 x 10 inches,Southwestern
Quiet: The Power of Introverts in a World That Can't Stop Talking,"Jan 24, 2012",Susan Cain,Susan Cain,https://images-na.ssl-images-amazon.com/images/I/41Fl9hWHPOL._AC_US218_.jpg,$12.25,Crown,6.4 x 1.1 x 9.5 inches,Communication
Starship Troopers,"May 15, 1987",Robert A. Heinlein,Robert A. Heinlein,https://images-na.ssl-images-amazon.com/images/I/51A+JZrPN3L._AC_US218_.jpg,$8.09,Ace ,4.2 x 0.9 x 7.6 inches,Space Marine
Bread Illustrated: A Step-By-Step Guide to Achieving Bakery-Quality Results At Home,"Sep 6, 2016",America's Test Kitchen,America's Test Kitchen,https://images-na.ssl-images-amazon.com/images/I/51jqxnjKfSL._AC_US218_.jpg,$14.98,America's Test Kitchen,8.5 x 0.9 x 10 inches,Gourmet
The Remains of the Day,"Sep 12, 1990",Kazuo Ishiguro,Kazuo Ishiguro,https://images-na.ssl-images-amazon.com/images/I/51zWSIKjmuL._AC_US218_.jpg,$8.29,Vintage International,5.2 x 0.6 x 7.9 inches,Historical
The God of Small Things: A Novel,"Dec 16, 2008",Arundhati Roy,Arundhati Roy,https://images-na.ssl-images-amazon.com/images/I/41iffjvqdQL._AC_US218_.jpg,$8.29,Random House Trade Paperbacks,5.1 x 0.7 x 8 inches,Indian
Uprooted: A Novel,"Mar 1, 2016",Naomi Novik,Naomi Novik,https://images-na.ssl-images-amazon.com/images/I/61pUui+jPAL._AC_US218_.jpg,$10.87,Del Rey,5.5 x 1 x 8.2 inches,Mythology & Folk Tales
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),"Jun 18, 2015",E L James,E L James,https://images-na.ssl-images-amazon.com/images/I/41XcFM8KkEL._AC_US218_.jpg,$9.57,Vintage ,5.2 x 1 x 8 inches,Urban
"Eat Complete: The 21 Nutrients That Fuel Brainpower, Boost Weight Loss, and Transform Your Health","May 17, 2016",Drew Ramsey M.D.,Drew Ramsey M.D.,https://images-na.ssl-images-amazon.com/images/I/51yTZdVCp8L._AC_US218_.jpg,$11.04,Harper Wave,7.4 x 1 x 9.1 inches,Neurology
Ms. Marvel Volume 1: No Normal,"Oct 28, 2014",G. Willow Wilson ,G. Willow Wilson ; Adrian Alphona,https://images-na.ssl-images-amazon.com/images/I/51BOgQBReyL._AC_US218_.jpg,$9.66,Marvel ,6.6 x 0.2 x 10.2 inches,Mystery
11/22/63: A Novel,"Nov 8, 2011",Stephen King,Stephen King,https://images-na.ssl-images-amazon.com/images/I/51vTQSkTUlL._AC_US218_.jpg,$9.28,Scribner ,9.3 x 6.3 x 2.7 inches,Alternate History
Red Rising,"Jan 28, 2014",Pierce Brown,Pierce Brown,https://images-na.ssl-images-amazon.com/images/I/517HuWn9+mL._AC_US218_.jpg,$12.96,Del Rey ,6.4 x 1.2 x 9.5 inches,Dystopian
Sweat (TCG Edition),"Jun 13, 2017",Lynn Nottage,Lynn Nottage,https://images-na.ssl-images-amazon.com/images/I/41CjO4VF1nL._AC_US218_.jpg,$12.86,Theatre Communications Group ,5.5 x 0.5 x 8.5 inches,Dramas & Plays
The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,"Aug 2, 2016",Colson Whitehead,Colson Whitehead,https://images-na.ssl-images-amazon.com/images/I/61HE7QKyt3L._AC_US218_.jpg,$9.92,Doubleday,6.5 x 1.2 x 9.6 inches,Historical
"Saga, Vol. 1","Oct 10, 2012",Brian K Vaughan ,Brian K Vaughan ; Fiona Staples,https://images-na.ssl-images-amazon.com/images/I/51tQYrlSCPL._AC_US218_.jpg,$7.84,Image Comics,6.5 x 0.4 x 10.1 inches,Image Comics
The Oxford Companion to Wine (Oxford Companions),"Oct 1, 2015",Jancis Robinson ,Jancis Robinson ; Julia Harding,https://images-na.ssl-images-amazon.com/images/I/51URnCA-VSL._AC_US218_.jpg,$39.92,Oxford University Press,11.2 x 1.7 x 9.1 inches,Wine
The Immortal Life of Henrietta Lacks,"Feb 2, 2010",Rebecca Skloot,Rebecca Skloot,https://images-na.ssl-images-amazon.com/images/I/51e5fLnlCCL._AC_US218_.jpg,$8.10,Crown,6.5 x 1.3 x 9.6 inches,Cell Biology
"Saga, Vol. 3","Mar 25, 2014",Brian K Vaughan ,Brian K Vaughan ; Fiona Staples,https://images-na.ssl-images-amazon.com/images/I/51iIBsBJZDL._AC_US218_.jpg,$10.99,Image Comics,6.4 x 0.6 x 10 inches,Image Comics
Queen of Shadows: Throne of Glass 4,"Sep 1, 2015",Sarah J. Maas,Sarah J. Maas,https://images-na.ssl-images-amazon.com/images/I/51J7ysZWXDL._AC_US218_.jpg,$15.99,Bloomsbury USA Childrens,6.5 x 2 x 9.5 inches,Science Fiction & Dystopian
The Moon Is a Harsh Mistress,"Jun 15, 1997",Robert A. Heinlein,Robert A. Heinlein,https://images-na.ssl-images-amazon.com/images/I/410BnoLMnoL._AC_US218_.jpg,$9.87,Orb Books,5.9 x 1 x 8.3 inches,Epic
Career of Evil (A Cormoran Strike Novel),"Oct 20, 2015",Robert Galbraith,Robert Galbraith,https://images-na.ssl-images-amazon.com/images/I/51MVmu2sYnL._AC_US218_.jpg,$9.04,Mulholland Books ,6.4 x 1.6 x 9.6 inches,Crime
Stranger in a Strange Land,"May 15, 1987",Robert A. Heinlein,Robert A. Heinlein,https://images-na.ssl-images-amazon.com/images/I/51eN9bHba+L._AC_US218_.jpg,$7.93,Ace,4.2 x 1.2 x 6.9 inches,First Contact
Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner),"Apr 12, 2016",Ibram X. Kendi,Ibram X. Kendi,https://images-na.ssl-images-amazon.com/images/I/51jy1LdXstL._AC_US218_.jpg,$16.93,Nation Books,6.4 x 2.2 x 9.6 inches,African Americans
The Fault in Our Stars,"Jan 10, 2012",John Green,John Green,https://images-na.ssl-images-amazon.com/images/I/51BYcXvTimL._AC_US218_.jpg,$8.04,Dutton Books,5.9 x 1 x 8.5 inches,Self Esteem & Reliance
The Three-Body Problem (Remembrance of Earth's Past),"Nov 11, 2014",Cixin Liu ,Cixin Liu ; Ken Liu,https://images-na.ssl-images-amazon.com/images/I/519lB7Q3XVL._AC_US218_.jpg,$13.49,Tor Books,6.4 x 1.3 x 9.6 inches,Chinese
March: Book Three,"Aug 2, 2016",John Lewis ,John Lewis ; Andrew Aydin,https://images-na.ssl-images-amazon.com/images/I/61E01pIyVXL._AC_US218_.jpg,$9.60,Top Shelf Productions,6.5 x 0.7 x 9.5 inches,Educational & Nonfiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),"Apr 17, 2012",E L James,E L James,https://images-na.ssl-images-amazon.com/images/I/51tLnA0g-aL._AC_US218_.jpg,$8.90,Vintage,5.2 x 1 x 8 inches,Contemporary
Heritage,"Oct 21, 2014",Sean Brock ,Sean Brock ; Peter Frank Edwards,https://images-na.ssl-images-amazon.com/images/I/516a8aJCvPL._AC_US218_.jpg,$23.89,Artisan,8.5 x 1.2 x 11.2 inches,Sustainable Agriculture
Hyperion (Hyperion Cantos),"Feb 1, 1990",Dan Simmons,Dan Simmons,https://images-na.ssl-images-amazon.com/images/I/51HLw7sxnpL._AC_US218_.jpg,$7.19,Spectra ,4.2 x 1.1 x 6.8 inches,Space Opera
"Victuals: An Appalachian Journey, with Recipes","Aug 30, 2016",Ronni Lundy ,Ronni Lundy ; Johnny Autry,https://images-na.ssl-images-amazon.com/images/I/51ONprCR5iL._AC_US218_.jpg,$18.05,Clarkson Potter ,7.7 x 1 x 10.3 inches,Midwestern
At Home in the Whole Food Kitchen: Celebrating the Art of Eating Well,"Oct 21, 2014",Amy Chaplin ,Amy Chaplin ; Johnny Miller,https://images-na.ssl-images-amazon.com/images/I/51GT+ngD2fL._AC_US218_.jpg,$28.21,Roost Books,8.5 x 1.3 x 10.6 inches,Ayurveda
A Court of Thorns and Roses,"May 5, 2015",Sarah J. Maas,Sarah J. Maas,https://images-na.ssl-images-amazon.com/images/I/510Zt+3qNNL._AC_US218_.jpg,$12.51,Bloomsbury USA Childrens,6.4 x 1.6 x 9.6 inches,Science Fiction & Dystopian
The Dispossessed (Hainish Cycle),"Oct 20, 1994",Ursula K. Le Guin,Ursula K. Le Guin,https://images-na.ssl-images-amazon.com/images/I/51oB3LJckjL._AC_US218_.jpg,$6.25,Harper Voyager,4.2 x 1 x 6.8 inches,Metaphysical & Visionary
"Butchering Poultry, Rabbit, Lamb, Goat, and Pork: The Comprehensive Photographic Guide to Humane Slaughtering and Butchering","Mar 11, 2014",Adam Danforth ,Adam Danforth ; Joel Salatin,https://images-na.ssl-images-amazon.com/images/I/51Ndg1oIU1L._AC_US218_.jpg,$17.07,"Storey Publishing, LLC",8.6 x 1.1 x 10.9 inches,Animal Husbandry
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,"Oct 8, 2013",Malala Yousafzai ,Malala Yousafzai ; Christina Lamb,https://images-na.ssl-images-amazon.com/images/I/51u6gOqlKmL._AC_US218_.jpg,$8.44,"Little, Brown and Company",6.5 x 1.2 x 9.8 inches,Asian
"The Vegetable Butcher: How to Select, Prep, Slice, Dice, and Masterfully Cook Vegetables from Artichokes to Zucchini","Apr 19, 2016",Cara Mangini,Cara Mangini,https://images-na.ssl-images-amazon.com/images/I/51zMxDFFrRL._AC_US218_.jpg,$18.96,Workman Publishing Company ,10 x 1 x 12 inches,Vegetables
The Book of Life (All Souls),"Jul 15, 2014",Deborah Harkness,Deborah Harkness,https://images-na.ssl-images-amazon.com/images/I/612DJJsCpfL._AC_US218_.jpg,$11.64,Viking,6.4 x 1.6 x 9.2 inches,General
Shadow of Night: A Novel (All Souls Trilogy),"Jul 10, 2012",Deborah Harkness,Deborah Harkness,https://images-na.ssl-images-amazon.com/images/I/61hU9SXGiuL._AC_US218_.jpg,$12.99,Viking,6.2 x 1.8 x 9.3 inches,Gothic
Library of Souls: The Third Novel of Miss Peregrine's Peculiar Children,"Sep 22, 2015",Ransom Riggs,Ransom Riggs,https://images-na.ssl-images-amazon.com/images/I/512lHExk1KL._AC_US218_.jpg,$8.66,Quirk Books,5.5 x 1.2 x 8.5 inches,Time Travel
The English Patient,"Nov 30, 1993",Michael Ondaatje,Michael Ondaatje,https://images-na.ssl-images-amazon.com/images/I/41Lfzgk-eqL._AC_US218_.jpg,$7.95,Vintage Books ,5.2 x 0.6 x 8.1 inches,Jewish
Olivia and the Fairy Princesses,"Aug 28, 2012",Ian Falconer,Ian Falconer,https://images-na.ssl-images-amazon.com/images/I/41aQzPcjDIL._AC_US218_.jpg,$9.99,Atheneum Books for Young Readers,8.5 x 0.5 x 11 inches,Royalty
The Martian: A Novel,"Feb 11, 2014",Andy Weir,Andy Weir,https://images-na.ssl-images-amazon.com/images/I/41vw+RmEi4L._AC_US218_.jpg,$14.99,Crown,6.4 x 1.3 x 9.4 inches,Humorous
Wolf Hall,"Aug 31, 2010",Hilary Mantel,Hilary Mantel,https://images-na.ssl-images-amazon.com/images/I/51sVglTpzKL._AC_US218_.jpg,$8.28,Picador,5.5 x 1.1 x 8.2 inches,Renaissance
Disgrace: A Novel,"Nov 1, 2000",J. M. Coetzee,J. M. Coetzee,https://images-na.ssl-images-amazon.com/images/I/5122wJI19nL._AC_US218_.jpg,$7.74,Penguin Books ,5.1 x 0.6 x 7.7 inches,Cultural Heritage
"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series","Sep 1, 2015",David Lagercrantz,David Lagercrantz,https://images-na.ssl-images-amazon.com/images/I/61AsBvK+6uL._AC_US218_.jpg,$9.50,Knopf,6.5 x 1.4 x 9.6 inches,International Mystery & Crime
A Dance with Dragons (A Song of Ice and Fire),"Jul 12, 2011",George R. R. Martin,George R. R. Martin,https://images-na.ssl-images-amazon.com/images/I/51yAUivPqsL._AC_US218_.jpg,$8.67,Bantam ,6.5 x 2.1 x 9.5 inches,War & Military
Mockingjay (The Hunger Games),"Aug 24, 2010",Suzanne Collins,Suzanne Collins,https://images-na.ssl-images-amazon.com/images/I/41k66TFC43L._AC_US218_.jpg,$8.00,Scholastic Press,5.8 x 1.2 x 8.5 inches,Self Esteem & Reliance
Written in My Own Heart's Blood (Outlander),"Jun 10, 2014",Diana Gabaldon,Diana Gabaldon,https://images-na.ssl-images-amazon.com/images/I/518jMjtY04L._AC_US218_.jpg,$11.68,Delacorte Press,6.4 x 2.1 x 9.6 inches,Time Travel
Alternative Baker: Reinventing Dessert with Gluten-Free Grains and Flours,"Sep 13, 2016",Alanna Taylor-Tobin,Alanna Taylor-Tobin,https://images-na.ssl-images-amazon.com/images/I/61p0phDMuLL._AC_US218_.jpg,$9.09,Page Street Publishing ,8 x 0.8 x 9 inches,Pastry
"The Return (Pulitzer Prize Winner): Fathers, Sons and the Land in Between","Apr 4, 2017",Hisham Matar,Hisham Matar,https://images-na.ssl-images-amazon.com/images/I/51RfgItFYNL._AC_US218_.jpg,$11.55,Random House Trade Paperbacks,5.2 x 0.6 x 8 inches,African
The Sense of an Ending,"May 29, 2012",Julian Barnes,Julian Barnes,https://images-na.ssl-images-amazon.com/images/I/51tILRgrl2L._AC_US218_.jpg,$5.99,Vintage Books,5.5 x 0.6 x 8 inches,Self-Help & Psychology
NOPI: The Cookbook,"Oct 20, 2015",Yotam Ottolenghi ,Yotam Ottolenghi ; Ramael Scully,https://images-na.ssl-images-amazon.com/images/I/31yUIz+lTzL._AC_US218_.jpg,$19.99,Ten Speed Press,8 x 1.2 x 10.9 inches,Middle Eastern
Divergent,"May 3, 2011",Veronica Roth,Veronica Roth,https://images-na.ssl-images-amazon.com/images/I/51dGX+odxcL._AC_US218_.jpg,$8.83,Katherine Tegen Books,5.5 x 1.5 x 8.2 inches,Values & Virtues
Red Queen,"Feb 10, 2015",Victoria Aveyard,Victoria Aveyard,https://images-na.ssl-images-amazon.com/images/I/41VTPDCAq5L._AC_US218_.jpg,$9.50,HarperTeen,6 x 1.2 x 9 inches,Fantasy & Supernatural
The Blind Assassin: A Novel,"Aug 28, 2001",Margaret Atwood,Margaret Atwood,https://images-na.ssl-images-amazon.com/images/I/51iDU9kBsHL._AC_US218_.jpg,$8.15,Anchor ,5.2 x 0.9 x 8 inches,Garden Design
When I Grow Up,"Feb 1, 2011",Al Yankovic ,Al Yankovic ; Wes Hargis,https://images-na.ssl-images-amazon.com/images/I/61PilfWUpHL._AC_US218_.jpg,$9.93,HarperCollins,11.2 x 0.2 x 10.5 inches,Jobs & Careers
The Left Hand of Darkness (Ace Science Fiction),"Jul 1, 2000",Ursula K. Le Guin,Ursula K. Le Guin,https://images-na.ssl-images-amazon.com/images/I/41Vdgy-vugL._AC_US218_.jpg,$9.67,Ace,5.2 x 0.8 x 8.2 inches,Exploration
"Sourdough: Recipes for Rustic Fermented Breads, Sweets, Savories, and More","Nov 3, 2015",Sarah Owens ,Sarah Owens ; Ngoc Minh Ngo,https://images-na.ssl-images-amazon.com/images/I/61MG2719fAL._AC_US218_.jpg,$23.46,Roost Books ,8.3 x 1.1 x 10.3 inches,Frozen Desserts
Catching Fire (The Hunger Games),"Sep 1, 2009",Suzanne Collins,Suzanne Collins,https://images-na.ssl-images-amazon.com/images/I/51IufOs4JTL._AC_US218_.jpg,$7.95,Scholastic Press,6 x 1.5 x 9 inches,Self Esteem & Reliance
A Brief History of Seven Killings: A Novel,"Sep 8, 2015",Marlon James,Marlon James,https://images-na.ssl-images-amazon.com/images/I/51p2Q0qsNBL._AC_US218_.jpg,$9.19,Riverhead Books,5.5 x 1.4 x 8.2 inches,Australia & Oceania
Mr. Mercedes: A Novel (The Bill Hodges Trilogy),"Jun 3, 2014",Stephen King,Stephen King,https://images-na.ssl-images-amazon.com/images/I/51D0welpt7L._AC_US218_.jpg,$7.86,Scribner,6.1 x 1.5 x 9.2 inches,Contemporary
Doctor Sleep: A Novel,"Sep 24, 2013",Stephen King,Stephen King,https://images-na.ssl-images-amazon.com/images/I/511XunzJhPL._AC_US218_.jpg,$9.84,Scribner,6.1 x 1.7 x 9.2 inches,Contemporary
The White Tiger: A Novel,"Oct 14, 2008",Aravind Adiga,Aravind Adiga,https://images-na.ssl-images-amazon.com/images/I/514rpfWaV-L._AC_US218_.jpg,$7.19,Free Press ,5.5 x 0.9 x 8.4 inches,Indian
The Young Chef: Recipes and Techniques for Kids Who Love to Cook,"Apr 5, 2016",The Culinary Institute of America,The Culinary Institute of America,https://images-na.ssl-images-amazon.com/images/I/61STTzurr3L._AC_US218_.jpg,$11.86,Houghton Mifflin Harcourt,8 x 0.5 x 9 inches,Cooking with Kids
Olio,"Apr 5, 2016",Tyehimba Jess,Tyehimba Jess,https://images-na.ssl-images-amazon.com/images/I/41KdSSJXDDL._AC_US218_.jpg,$12.99,Wave Books,8.5 x 0.5 x 10 inches,Poetry
"Taste of Persia: A Cook's Travels Through Armenia, Azerbaijan, Georgia, Iran, and Kurdistan","Sep 20, 2016",Naomi Duguid,Naomi Duguid,https://images-na.ssl-images-amazon.com/images/I/61Va9ihN+5L._AC_US218_.jpg,$18.90,Artisan,7.8 x 1.2 x 9.8 inches,Central Asia Travel
Brown Girl Dreaming (Newbery Honor Book),"Aug 28, 2014",Jacqueline Woodson,Jacqueline Woodson,https://images-na.ssl-images-amazon.com/images/I/51vX9UhFKmL._AC_US218_.jpg,$8.86,Nancy Paulsen Books,5.9 x 1.1 x 8.6 inches,Literary
